
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=1024
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=2,3,4,5,6
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NEGATIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.neg
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
POSITIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.pos

Loading data...
636 max_document
(10002, 636)
Train/Dev split: 9002/1000
Number of Class: 3
Writing to /home/g/grad/xinhao/IE_Project/runs/1494271488

2017-05-08T15:25:42.555426: step 1, loss 2.92102, acc 0.179688
2017-05-08T15:26:34.459373: step 2, loss 5.87192, acc 0.658203
2017-05-08T15:27:26.724535: step 3, loss 6.14638, acc 0.647461
2017-05-08T15:28:19.022792: step 4, loss 11.1283, acc 0.198242
2017-05-08T15:29:11.157004: step 5, loss 7.43128, acc 0.183594
2017-05-08T15:30:03.440353: step 6, loss 8.54801, acc 0.634766
2017-05-08T15:30:55.311918: step 7, loss 9.60873, acc 0.608398
2017-05-08T15:31:47.616108: step 8, loss 8.42302, acc 0.621094
2017-05-08T15:32:28.657463: step 9, loss 6.39474, acc 0.651852
2017-05-08T15:33:20.790205: step 10, loss 5.10736, acc 0.630859
2017-05-08T15:34:12.749450: step 11, loss 2.35392, acc 0.662109
2017-05-08T15:35:04.497713: step 12, loss 3.74421, acc 0.194336
2017-05-08T15:35:56.708082: step 13, loss 2.34266, acc 0.183594
2017-05-08T15:36:48.791401: step 14, loss 4.34925, acc 0.177734
2017-05-08T15:37:40.837004: step 15, loss 3.56009, acc 0.198242
2017-05-08T15:38:32.614649: step 16, loss 2.30348, acc 0.639648
2017-05-08T15:39:24.597315: step 17, loss 3.41409, acc 0.647461
2017-05-08T15:40:05.583095: step 18, loss 3.91445, acc 0.653086
2017-05-08T15:40:57.325767: step 19, loss 4.21149, acc 0.625977
2017-05-08T15:41:49.389835: step 20, loss 3.8861, acc 0.617188
2017-05-08T15:42:41.578232: step 21, loss 2.67045, acc 0.643555
2017-05-08T15:43:33.540338: step 22, loss 1.63625, acc 0.620117
2017-05-08T15:44:25.488317: step 23, loss 1.3924, acc 0.192383
2017-05-08T15:45:17.557262: step 24, loss 2.32004, acc 0.19043
2017-05-08T15:46:09.424052: step 25, loss 2.68582, acc 0.188477
2017-05-08T15:47:01.418445: step 26, loss 1.42351, acc 0.1875
2017-05-08T15:47:42.219059: step 27, loss 1.08665, acc 0.641975
2017-05-08T15:48:34.080242: step 28, loss 1.64904, acc 0.663086
2017-05-08T15:49:26.167093: step 29, loss 2.03322, acc 0.641602
2017-05-08T15:50:18.317805: step 30, loss 2.02111, acc 0.635742
2017-05-08T15:51:10.351689: step 31, loss 1.75429, acc 0.613281
2017-05-08T15:52:02.332083: step 32, loss 1.73652, acc 0.182617
2017-05-08T15:52:54.316367: step 33, loss 1.56263, acc 0.189453
2017-05-08T15:53:46.580729: step 34, loss 0.936613, acc 0.616211
2017-05-08T15:54:38.708948: step 35, loss 1.13064, acc 0.640625
2017-05-08T15:55:19.651586: step 36, loss 1.53453, acc 0.197531
2017-05-08T15:56:11.500548: step 37, loss 1.36368, acc 0.647461
2017-05-08T15:57:03.678281: step 38, loss 1.35913, acc 0.638672
2017-05-08T15:57:55.592130: step 39, loss 1.21613, acc 0.660156
2017-05-08T15:58:47.865324: step 40, loss 1.06971, acc 0.634766
2017-05-08T15:59:39.647115: step 41, loss 0.939794, acc 0.608398
2017-05-08T16:00:31.611637: step 42, loss 1.3433, acc 0.176758
2017-05-08T16:01:23.883636: step 43, loss 1.12374, acc 0.197266
2017-05-08T16:02:15.727121: step 44, loss 0.922133, acc 0.623047
2017-05-08T16:02:56.725996: step 45, loss 1.09485, acc 0.618519
2017-05-08T16:03:48.593473: step 46, loss 1.19091, acc 0.625
2017-05-08T16:04:40.341859: step 47, loss 1.07899, acc 0.639648
2017-05-08T16:05:32.860311: step 48, loss 0.992609, acc 0.613281
2017-05-08T16:06:24.736106: step 49, loss 0.928569, acc 0.645508
2017-05-08T16:07:16.771482: step 50, loss 1.00396, acc 0.518555
2017-05-08T16:08:08.607229: step 51, loss 0.94043, acc 0.640625
2017-05-08T16:09:00.552111: step 52, loss 0.938456, acc 0.630859
2017-05-08T16:09:52.391335: step 53, loss 0.941406, acc 0.652344
2017-05-08T16:10:33.606132: step 54, loss 0.909139, acc 0.641975
2017-05-08T16:11:25.795276: step 55, loss 0.897807, acc 0.633789
2017-05-08T16:12:17.813123: step 56, loss 0.936508, acc 0.670898
2017-05-08T16:13:09.695704: step 57, loss 0.886778, acc 0.650391
2017-05-08T16:14:01.548523: step 58, loss 0.872991, acc 0.635742
2017-05-08T16:14:53.360804: step 59, loss 0.928443, acc 0.637695
2017-05-08T16:15:44.990610: step 60, loss 0.917783, acc 0.643555
2017-05-08T16:16:37.056981: step 61, loss 0.903114, acc 0.608398
2017-05-08T16:17:29.028521: step 62, loss 0.893528, acc 0.636719
2017-05-08T16:18:10.207109: step 63, loss 0.927928, acc 0.679012
2017-05-08T16:19:02.141262: step 64, loss 0.884794, acc 0.614258
2017-05-08T16:19:54.173132: step 65, loss 0.875736, acc 0.628906
2017-05-08T16:20:45.991401: step 66, loss 0.935791, acc 0.607422
2017-05-08T16:21:37.778252: step 67, loss 0.822751, acc 0.662109
2017-05-08T16:22:29.822971: step 68, loss 0.859811, acc 0.636719
2017-05-08T16:23:21.766699: step 69, loss 0.85326, acc 0.640625
2017-05-08T16:24:13.947165: step 70, loss 0.850578, acc 0.644531
2017-05-08T16:25:06.040220: step 71, loss 0.867595, acc 0.638672
2017-05-08T16:25:47.134062: step 72, loss 0.871803, acc 0.632099
2017-05-08T16:26:39.219673: step 73, loss 0.85807, acc 0.625977
2017-05-08T16:27:31.237415: step 74, loss 0.827451, acc 0.663086
2017-05-08T16:28:22.904728: step 75, loss 0.853149, acc 0.633789
2017-05-08T16:29:14.944860: step 76, loss 0.832904, acc 0.646484
2017-05-08T16:30:06.877910: step 77, loss 0.866311, acc 0.625
2017-05-08T16:30:58.921517: step 78, loss 0.82913, acc 0.651367
2017-05-08T16:31:50.755856: step 79, loss 0.855227, acc 0.62207
2017-05-08T16:32:42.513083: step 80, loss 0.853211, acc 0.630859
2017-05-08T16:33:23.477504: step 81, loss 0.883609, acc 0.601235
2017-05-08T16:34:15.504836: step 82, loss 0.855557, acc 0.630859
2017-05-08T16:35:07.088716: step 83, loss 0.829445, acc 0.642578
2017-05-08T16:35:59.066561: step 84, loss 0.833177, acc 0.643555
2017-05-08T16:36:51.168964: step 85, loss 0.841531, acc 0.631836
2017-05-08T16:37:43.090942: step 86, loss 0.834765, acc 0.629883
