
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=2,3,4,5,6
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NEGATIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.neg
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
POSITIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.pos

Loading data...
636 max_document
(10002, 636)
Train/Dev split: 9002/1000
Number of Class: 3
Writing to /home/g/grad/xinhao/IE_Project/runs/1494194564

2017-05-07T18:02:48.874230: step 1, loss 6.60963, acc 0.15625
2017-05-07T18:02:52.137484: step 2, loss 5.20753, acc 0.671875
2017-05-07T18:02:55.394221: step 3, loss 6.81009, acc 0.640625
2017-05-07T18:02:58.693876: step 4, loss 4.90032, acc 0.578125
2017-05-07T18:03:01.928223: step 5, loss 10.0077, acc 0.1875
2017-05-07T18:03:05.136842: step 6, loss 6.01493, acc 0.1875
2017-05-07T18:03:08.412463: step 7, loss 5.54821, acc 0.578125
2017-05-07T18:03:11.640564: step 8, loss 5.55169, acc 0.640625
2017-05-07T18:03:14.855232: step 9, loss 5.35386, acc 0.609375
2017-05-07T18:03:18.094954: step 10, loss 3.63785, acc 0.671875
2017-05-07T18:03:21.356106: step 11, loss 2.16468, acc 0.65625
2017-05-07T18:03:24.598320: step 12, loss 2.01074, acc 0.1875
2017-05-07T18:03:27.808507: step 13, loss 3.95856, acc 0.140625
2017-05-07T18:03:31.039700: step 14, loss 2.01911, acc 0.1875
2017-05-07T18:03:34.278832: step 15, loss 1.02123, acc 0.546875
2017-05-07T18:03:37.500357: step 16, loss 1.59214, acc 0.65625
2017-05-07T18:03:40.745225: step 17, loss 2.55822, acc 0.625
2017-05-07T18:03:44.019843: step 18, loss 1.93118, acc 0.6875
2017-05-07T18:03:47.235376: step 19, loss 2.2707, acc 0.6875
2017-05-07T18:03:50.484769: step 20, loss 2.74726, acc 0.625
2017-05-07T18:03:53.705051: step 21, loss 2.94559, acc 0.6875
2017-05-07T18:03:56.959184: step 22, loss 1.72123, acc 0.703125
2017-05-07T18:04:00.199501: step 23, loss 2.07769, acc 0.671875
2017-05-07T18:04:03.441018: step 24, loss 1.76525, acc 0.59375
2017-05-07T18:04:06.661601: step 25, loss 1.11058, acc 0.65625
2017-05-07T18:04:09.916520: step 26, loss 1.08567, acc 0.390625
2017-05-07T18:04:13.128806: step 27, loss 1.61061, acc 0.203125
2017-05-07T18:04:16.374333: step 28, loss 1.39382, acc 0.265625
2017-05-07T18:04:19.607397: step 29, loss 0.979457, acc 0.703125
2017-05-07T18:04:22.869488: step 30, loss 1.44676, acc 0.640625
2017-05-07T18:04:26.109512: step 31, loss 1.52505, acc 0.625
2017-05-07T18:04:29.344892: step 32, loss 0.834223, acc 0.734375
2017-05-07T18:04:32.605621: step 33, loss 1.13579, acc 0.34375
2017-05-07T18:04:35.819476: step 34, loss 1.19765, acc 0.265625
2017-05-07T18:04:39.083444: step 35, loss 0.918075, acc 0.640625
2017-05-07T18:04:42.308156: step 36, loss 0.866043, acc 0.71875
2017-05-07T18:04:45.536345: step 37, loss 0.979414, acc 0.671875
2017-05-07T18:04:48.779365: step 38, loss 1.33587, acc 0.65625
2017-05-07T18:04:52.007936: step 39, loss 1.33296, acc 0.609375
2017-05-07T18:04:55.229061: step 40, loss 0.942752, acc 0.671875
